task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
59	c4/4eaa77	13046841	filter_bam (50)	COMPLETED	0	2021-08-04 20:49:02.343	1h 31m 25s	9m 49s	231.7%	22.3 MB	677.1 MB	15.2 GB	3.8 GB
60	71/8bcfc6	13046840	filter_bam (51)	COMPLETED	0	2021-08-04 20:49:02.317	1h 31m 45s	10m 11s	224.2%	10.4 MB	677.1 MB	15.2 GB	3.9 GB
62	f0/a983dc	13046842	filter_bam (53)	COMPLETED	0	2021-08-04 20:49:02.364	1h 42m 25s	18m 5s	208.2%	22.3 MB	677.1 MB	22.1 GB	7 GB
65	0f/b37dde	13046843	filter_bam (56)	COMPLETED	0	2021-08-04 20:49:02.389	1h 44m 49s	17m 16s	205.5%	14.5 MB	738.8 MB	21.7 GB	6.6 GB
63	a9/300637	13046844	filter_bam (54)	COMPLETED	0	2021-08-04 20:49:02.415	1h 48m 19s	18m 24s	216.9%	31.1 MB	677.1 MB	22.4 GB	7.3 GB
64	8d/f06605	13046845	filter_bam (55)	COMPLETED	0	2021-08-04 20:49:02.433	1h 48m 54s	17m 25s	220.2%	10.4 MB	677.1 MB	21.9 GB	6.8 GB
82	6f/07d9de	13046899	demuxlet (17)	COMPLETED	0	2021-08-04 21:24:06.775	1h 41m 10s	31m 2s	99.3%	1.5 GB	1.6 GB	2 GB	2.3 MB
79	ff/ed76ac	13046890	demuxlet (14)	COMPLETED	0	2021-08-04 21:19:56.784	1h 47m 25s	33m 32s	98.8%	1.5 GB	1.6 GB	2 GB	2.3 MB
81	2f/f78a88	13046897	demuxlet (16)	COMPLETED	0	2021-08-04 21:23:31.778	1h 44m 25s	33m 44s	99.0%	1.5 GB	1.7 GB	2 GB	2.3 MB
87	91/af1ffe	13046910	demuxlet (22)	COMPLETED	0	2021-08-04 21:28:11.789	1h 43m 45s	33m 16s	98.9%	1.5 GB	1.6 GB	2 GB	2.3 MB
86	7d/04bb85	13046906	demuxlet (21)	COMPLETED	0	2021-08-04 21:26:36.778	1h 46m	36m 19s	98.8%	1.5 GB	1.6 GB	2.1 GB	2.3 MB
89	35/7a71d1	13046915	demuxlet (24)	COMPLETED	0	2021-08-04 21:29:11.813	1h 44m 20s	33m 35s	99.2%	1.6 GB	1.7 GB	2.1 GB	2.3 MB
84	4c/d3c236	13046903	demuxlet (19)	COMPLETED	0	2021-08-04 21:24:51.777	1h 50m 20s	40m 55s	98.9%	1.5 GB	1.6 GB	2.1 GB	2.3 MB
91	b2/e907ac	13046919	demuxlet (26)	COMPLETED	0	2021-08-04 21:30:31.775	1h 47m 35s	32m 32s	99.2%	1.6 GB	1.7 GB	2.1 GB	2.3 MB
88	f7/c214da	13046914	demuxlet (23)	COMPLETED	0	2021-08-04 21:29:11.776	1h 51m 50s	41m 5s	98.9%	1.6 GB	1.7 GB	2.1 GB	2.3 MB
90	2f/32c474	13046916	demuxlet (25)	COMPLETED	0	2021-08-04 21:29:41.783	1h 54m 15s	38m 23s	99.2%	1.5 GB	1.6 GB	2.1 GB	2.3 MB
92	22/687481	13046921	demuxlet (27)	COMPLETED	0	2021-08-04 21:30:56.787	2h 1m 5s	35m 31s	99.4%	1.6 GB	1.7 GB	2.1 GB	2.3 MB
93	da/17dd18	13046923	demuxlet (28)	COMPLETED	0	2021-08-04 21:31:26.781	2h 8m 15s	34m 21s	99.4%	1.5 GB	1.6 GB	2.1 GB	2.3 MB
94	9b/d8c09c	13046926	demuxlet (29)	COMPLETED	0	2021-08-04 21:33:01.783	2h 6m 40s	32m 18s	99.4%	1.5 GB	1.6 GB	2.1 GB	2.3 MB
95	af/0b0ec8	13046929	demuxlet (30)	COMPLETED	0	2021-08-04 21:33:56.793	2h 7m 20s	33m 14s	99.4%	1.5 GB	1.6 GB	2.1 GB	2.3 MB
66	14/8aca0d	13046859	demuxlet (1)	COMPLETED	0	2021-08-04 21:01:01.707	3h 9m 35s	1h 50m 7s	99.5%	2 GB	2.1 GB	3 GB	2.4 MB
67	90/0312f0	13046861	demuxlet (2)	COMPLETED	0	2021-08-04 21:01:11.700	3h 10m 20s	1h 51m 1s	99.5%	2 GB	2.1 GB	3 GB	2.4 MB
