task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1738	95/7cca10	13158926	ame_run_shuffle (752)	CACHED	0	2021-09-14 15:28:45.715	19.9s	249ms	13.5%	0	0	451.2 KB	285.7 KB
1695	b3/08f46f	13158948	ame_run_shuffle (773)	CACHED	0	2021-09-14 15:28:55.633	30s	14.5s	69.7%	13.5 MB	340.8 MB	893.4 KB	694.5 KB
1757	49/7cb29b	13159003	ame_run_shuffle (828)	CACHED	0	2021-09-14 15:29:10.692	59.9s	47.3s	77.8%	15.4 MB	340.9 MB	1.7 MB	9.3 MB
1755	65/90658a	13159001	ame_run_shuffle (826)	CACHED	0	2021-09-14 15:29:10.669	2m 20s	2m 5s	85.1%	19.3 MB	340.8 MB	2.1 MB	18.6 MB
1721	e5/2e31a3	13158969	ame_run_shuffle (794)	CACHED	0	2021-09-14 15:29:00.661	15s	193ms	19.1%	0	0	429.1 KB	282 KB
1751	f7/4d9c11	13158998	ame_run_shuffle (823)	CACHED	0	2021-09-14 15:29:10.621	15s	521ms	29.5%	0	0	1.1 MB	587.2 KB
1754	d5/c04368	13159000	ame_run_shuffle (825)	CACHED	0	2021-09-14 15:29:10.652	30s	16s	70.1%	13.9 MB	340.8 MB	1.2 MB	4.5 MB
1771	aa/d6db61	13159017	ame_run_shuffle (842)	CACHED	0	2021-09-14 15:29:15.653	15s	198ms	15.4%	0	0	402 KB	267.5 KB
1774	cf/c8733e	13159020	ame_run_shuffle (845)	CACHED	0	2021-09-14 15:29:15.690	29.9s	13.3s	69.7%	13.5 MB	340.8 MB	884.8 KB	479.5 KB
1776	91/9afeef	13159024	ame_run_shuffle (849)	CACHED	0	2021-09-14 15:29:15.745	14.9s	151ms	10.0%	0	0	393.8 KB	268.4 KB
1766	31/bc8783	13159012	ame_run_shuffle (836)	CACHED	0	2021-09-14 15:29:10.832	29.8s	13.7s	68.3%	13.6 MB	340.8 MB	876.4 KB	379.3 KB
1777	c1/400c9e	13159021	ame_run_shuffle (846)	CACHED	0	2021-09-14 15:29:15.700	24.9s	12.3s	68.3%	13.7 MB	340.9 MB	1 MB	322 KB
1760	b4/07ceb3	13159009	ame_run_shuffle (833)	CACHED	0	2021-09-14 15:29:10.788	14.9s	165ms	9.4%	0	0	393.6 KB	277.2 KB
1759	48/e55d14	13159004	ame_run_shuffle (829)	CACHED	0	2021-09-14 15:29:10.704	34.9s	17.6s	69.7%	14.6 MB	340.9 MB	1.3 MB	628.4 KB
1770	74/364cc4	13159016	ame_run_shuffle (841)	CACHED	0	2021-09-14 15:29:15.641	15s	187ms	15.9%	0	0	401.8 KB	281.3 KB
1737	80/7491de	13158905	ame_run_shuffle (734)	CACHED	0	2021-09-14 15:28:40.616	15s	245ms	20.0%	0	0	466.3 KB	305 KB
1767	d4/c2aeb3	13159015	ame_run_shuffle (839)	CACHED	0	2021-09-14 15:29:15.630	15s	179ms	12.9%	0	0	402 KB	261.2 KB
1775	11/671aa5	13159023	ame_run_shuffle (848)	CACHED	0	2021-09-14 15:29:15.723	14.9s	184ms	11.7%	0	0	394 KB	259.1 KB
1768	49/84de2e	13159007	ame_run_shuffle (832)	CACHED	0	2021-09-14 15:29:10.761	14.9s	203ms	11.4%	0	0	393.4 KB	274 KB
1749	01/24bcc6	13158996	ame_run_shuffle (821)	CACHED	0	2021-09-14 15:29:05.810	19.8s	498ms	29.0%	0	0	1.1 MB	592.8 KB
1778	65/34e80e	13159026	ame_run_shuffle (851)	CACHED	0	2021-09-14 15:29:20.629	15s	219ms	14.0%	0	0	394 KB	270.5 KB
1785	68/334c66	13159032	ame_run_shuffle (857)	CACHED	0	2021-09-14 15:29:20.696	14.9s	184ms	12.0%	0	0	401 KB	269.2 KB
1781	7d/1a67e4	13159029	ame_run_shuffle (854)	CACHED	0	2021-09-14 15:29:20.663	25s	13s	68.7%	13.6 MB	340.8 MB	876.8 KB	691.4 KB
1773	53/ad0c19	13159019	ame_run_shuffle (844)	CACHED	0	2021-09-14 15:29:15.680	44.9s	32.6s	73.3%	17.3 MB	340.8 MB	1.4 MB	816.9 KB
1779	99/c754a9	13159027	ame_run_shuffle (852)	CACHED	0	2021-09-14 15:29:20.641	15s	2.1s	66.3%	11.8 MB	340.8 MB	561.3 KB	502.9 KB
1782	f3/c59d3d	13159030	ame_run_shuffle (855)	CACHED	0	2021-09-14 15:29:20.675	24.9s	13.5s	69.4%	13.4 MB	340.9 MB	1 MB	657.9 KB
1786	a4/77e4f7	13159034	ame_run_shuffle (859)	CACHED	0	2021-09-14 15:29:20.717	14.9s	175ms	12.3%	0	0	400.8 KB	266.4 KB
1772	eb/f119ff	13159018	ame_run_shuffle (843)	CACHED	0	2021-09-14 15:29:15.667	15s	3.6s	61.8%	11.6 MB	340.8 MB	569.4 KB	545.9 KB
1790	89/3e485c	13159035	ame_run_shuffle (860)	CACHED	0	2021-09-14 15:29:20.727	14.9s	162ms	9.1%	0	0	401 KB	273.2 KB
1791	a1/cb7682	13159037	ame_run_shuffle (862)	CACHED	0	2021-09-14 15:29:20.754	44.9s	30.2s	71.2%	17.2 MB	340.8 MB	1.4 MB	792.1 KB
1789	80/f5a7ff	13159033	ame_run_shuffle (858)	CACHED	0	2021-09-14 15:29:20.705	14.9s	207ms	10.9%	0	0	400.8 KB	260.7 KB
1783	4e/cf90b6	13159025	ame_run_shuffle (850)	CACHED	0	2021-09-14 15:29:20.617	10s	191ms	16.0%	0	0	393.8 KB	268.1 KB
1787	8f/b55139	13159038	ame_run_shuffle (863)	CACHED	0	2021-09-14 15:29:20.854	29.8s	12.3s	67.4%	13.7 MB	340.8 MB	883.8 KB	481.1 KB
1788	77/6ef882	13159022	ame_run_shuffle (847)	CACHED	0	2021-09-14 15:29:15.710	34.9s	19.5s	68.8%	14.3 MB	340.9 MB	1.3 MB	1.1 MB
1780	41/849849	13159028	ame_run_shuffle (853)	CACHED	0	2021-09-14 15:29:20.652	45s	32.7s	72.8%	17.2 MB	340.8 MB	1.4 MB	1.2 MB
1769	eb/01b319	13158934	ame_run_shuffle (840)	CACHED	0	2021-09-14 15:28:50.620	15s	169ms	8.9%	0	0	401.8 KB	270.4 KB
